Product_Name,Price,Discount,Category
Sapota,₹74.96,20% OFF,?q=fruits&nc=as
Guava - Pink,₹81,24% OFF,?q=fruits&nc=as
Papaya - Small,₹49,24% OFF,?q=fruits&nc=as
"Orange - Nagpur, Small",₹45,26% OFF,?q=fruits&nc=as
Dragon Fruit (Loose),₹45.81,54% OFF,?q=fruits&nc=as
Muskmelon - Netted Small,₹65,46% OFF,?q=fruits&nc=as
Ber (Loose),₹51.5,24% OFF,?q=fruits&nc=as
Tender Coconut,₹46,22% OFF,?q=fruits&nc=as
Thai Guava - White Centre,₹41.5,20% OFF,?q=fruits&nc=as
Grapes - Bangalore Blue with Seed,₹38,43% OFF,?q=fruits&nc=as
Watermelon - Small,₹270,49% OFF,?q=fruits&nc=as
Coconut - Medium,₹220,57% OFF,?q=fruits&nc=as
"Pear - Green, Imported",₹270,24% OFF,?q=fruits&nc=as
Pomegranate,₹24.5,45% OFF,?q=fruits&nc=as
Mini Orange Imported,₹84.33,29% OFF,?q=fruits&nc=as
"Banana - Robusta, Organically Grown",₹75,39% OFF,?q=fruits&nc=as
Pineapple,₹183.02,24% OFF,?q=fruits&nc=as
Watermelon - Organically Grown (Loose),₹136.98,32% OFF,?q=fruits&nc=as
Totapuri Mango - Raw,₹256.11,20% OFF,?q=fruits&nc=as
"Avocado - Imported, Medium (Loose)",₹384,20% OFF,?q=fruits&nc=as
Fresh Figs,₹201.64,24% OFF,?q=fruits&nc=as
"Apple - Royal Gala, Regular",₹198.36,26% OFF,?q=fruits&nc=as
Pomegranate - Premium,₹31.24,20% OFF,?q=fruits&nc=as
Mosambi - Economy (Loose),₹310,20% OFF,?q=fruits&nc=as
Wood Apple - Kothbel (Loose),,24% OFF,?q=fruits&nc=as
"Apple - Kinnaur, Regular",,32% OFF,?q=fruits&nc=as
Apple - Royal Gala,,27% OFF,?q=fruits&nc=as
Mango Badami - Organically Grown,,,?q=fruits&nc=as
Green Peas (Loose),₹15,54% OFF,?q=vegetable&nc=as
Golden Sweet Corn,₹49,18% OFF,?q=vegetable&nc=as
Spring Onion,₹71.23,20% OFF,?q=vegetable&nc=as
Potato - Fresh Crop,₹60,41% OFF,?q=vegetable&nc=as
Ladies' Fingers (Loose),₹13,59% OFF,?q=vegetable&nc=as
Carrot - Orange (Loose),₹9,45% OFF,?q=vegetable&nc=as
5 Mix Vegetable,₹133,34% OFF,?q=vegetable&nc=as
Winter Green Peas,₹179,11% OFF,?q=vegetable&nc=as
Cauliflower,₹42.74,20% OFF,?q=vegetable&nc=as
Methi - With roots,₹15.34,20% OFF,?q=vegetable&nc=as
"Methi/Venthaya Keerai - Cleaned, without roots",₹7,72% OFF,?q=vegetable&nc=as
Cucumber,₹9.9,56% OFF,?q=vegetable&nc=as
Capsicum - Green (Loose),₹51,35% OFF,?q=vegetable&nc=as
Tomato - Local,₹35,54% OFF,?q=vegetable&nc=as
Potato,₹36,42% OFF,?q=vegetable&nc=as
Coriander Leaves,₹104.11,20% OFF,?q=vegetable&nc=as
Potato - New Crop,₹39,21% OFF,?q=vegetable&nc=as
Ginger - Organically Grown (Loose),₹11.5,58% OFF,?q=vegetable&nc=as
Radish - White (Loose),₹20,64% OFF,?q=vegetable&nc=as
Beans - Haricot (Loose),₹52,54% OFF,?q=vegetable&nc=as
Carrot - Red,₹12,54% OFF,?q=vegetable&nc=as
Drumstick/Moringa,₹218.08,20% OFF,?q=vegetable&nc=as
"Chilli - Green, Organically Grown",₹44,45% OFF,?q=vegetable&nc=as
Ridge Gourd,₹23,40% OFF,?q=vegetable&nc=as
